Datetime,Text
2022-06-26 23:59:42+00:00,(Monkeypox now spread to 26 states – Must Read Alaska) has been published on The Globe - https://t.co/2hHXPCJC15
2022-06-26 23:59:33+00:00,@hugebel Yall literally promote the deprivation that is linked with HIV and monkeypox and social degradation and destroyed nations. If only Germany 42 got rid of yall
2022-06-26 23:59:27+00:00,@SteveRae11 @Sharon75571311 @ClaraStept 🤣🤣🤣
2022-06-26 23:59:22+00:00,even liberal christians just DO NOT CARE about COVID (or monkeypox) or about medically vulnerable people
2022-06-26 23:59:22+00:00,"@KatieDaviscourt like gloria said, just another monkey pox event"
2022-06-26 23:59:00+00:00,"The World Health Organization said the escalating monkeypox outbreak in more than 50 countries should be closely monitored but does not warrant being declared a global health emergency.

https://t.co/0CnXUWB4K5"
2022-06-26 23:58:54+00:00,"Monkeypox Outbreak in Gay, Bisexual Men Prompts Effort to Avert Stigma - The Wall Street Journal https://t.co/0ggXsIps9y"
2022-06-26 23:58:43+00:00,"Monkeypox outbreak in U.S. is bigger than the CDC reports. Testing is 'abysmal'. Refusing to test anyone that doesn't meet very narrow and inadequate criteria. Hundreds of cases being ignored, losing valuable time to treat and curb spread.
https://t.co/y8wYoEERNE"
2022-06-26 23:58:39+00:00,Was trying to enjoy my immune from COVID-19 era and now I have to worry about monkeypox?
2022-06-26 23:58:39+00:00,"From monkeypox to polio, here’s why so many viruses are attacking the UK https://t.co/ync7Tq9GmW"
2022-06-26 23:58:37+00:00,"@MelpomeneMel I’ve been reading that you can get infected by bedsheet, surfaces and even airborne particles. This is so scary and needs to be brought everyone’s attention. Highly infectious Monkeypox virus is very contagious."
2022-06-26 23:58:34+00:00,@SICNoticias Monkeypox pega panascas!
2022-06-26 23:57:55+00:00,@jjcouey I feel like I bet on the right horse and won. I don’t know what else to say. I might feel different when i get monkey pox. I won’t get this poison. I am so grateful to you for your generosity in sharing this knowledge freely. Especially today. Nobody wants to give anything.
2022-06-26 23:57:33+00:00,"@canmericanized @TorontoPolice In a couple weeks time, they will be reporting a sudden influx of monkey pox cases and wonder where it came from"
2022-06-26 23:57:30+00:00,"Peru 🇵🇪 announced that it identified its first Monkeypox case. 

Peru 🇵🇪 is the 49th country to identify a confirmed Monkeypox case outside of the epicentre countries. https://t.co/xpECBrloJC"
2022-06-26 23:57:09+00:00,@thunderw0lf2000 @DrJenGunter What a terrible take to justify killing another human being.
2022-06-26 23:57:03+00:00,How to get a vaccine against monkeypox in the US. Who should get one? https://t.co/2CXtfpcz5U
2022-06-26 23:56:57+00:00,@ErrataRob @Dave_Maynor Our executive branch agencies (eg CDC and FDA) massively fucked up the last national crisis (COVID) and appear to be consistently fucking up the latest emerging disease in a similar manner. (Fortunately MonkeyPox doesn’t seem to be as dangerous.)
2022-06-26 23:56:57+00:00,@Rob_Oliphant @cafreeland @YaaraSaks @Carolyn_Bennett Hey buddy watch out for monkey pox it you are a rear end mechanic
2022-06-26 23:56:50+00:00,@PhilanthropyGal Watch out for monkey pox!
2022-06-26 23:56:47+00:00,@AnnieGetYourGuy @1000thghost @davidcrosss Because they are not a biologist.
